Часть;Год;Команда;Соперник;Минуты;Схема;Забито;Пропущено;Удары;Удары в створ;Передачи;Точные передачи;Навесы;Точные навесы;Владение;xG;PPDA;Победитель;Проигравший
1;2016;Амкар;ЦСКА;96;5-3-2 (97.33%);2;2;4;3;339;249;10;3;43.86;0.65;8;Ничья;Ничья
1;2016;Амкар;Ростов;95;5-3-2 (100.0%);1;0;9;3;488;397;8;2;63.3;0.69;6.93;Амкар;Ростов
1;2016;Амкар;Краснодар;94;3-5-2 (100.0%);0;1;6;1;339;265;12;5;33.33;0.21;15.64;Краснодар;Амкар
1;2016;Амкар;Локомотив;94;5-3-2 (100.0%);0;0;8;1;430;335;15;8;46.06;1.01;9.69;Ничья;Ничья
1;2016;Амкар;Уфа;95;5-3-2 (100.0%);1;1;6;1;296;217;13;4;44.94;0.52;7.97;Ничья;Ничья
1;2016;Амкар;КС;92;3-5-2 (100.0%);0;0;12;1;466;397;16;7;51;0.27;10.88;Ничья;Ничья
1;2016;Амкар;Ахмат;95;3-5-2 (100.0%);3;1;11;4;325;269;11;5;44.13;1.44;8.96;Амкар;Ахмат
1;2016;Амкар;Томь;92;5-3-2 (100.0%);1;0;9;3;357;276;9;1;50.11;0.44;5.12;Амкар;Томь
1;2016;Амкар;Зенит;92;5-3-2 (57.18%);0;3;1;0;332;253;7;2;32.94;0.02;12.93;Зенит;Амкар
1;2016;Амкар;Урал;95;5-3-2 (83.48%);1;0;7;1;510;436;23;7;57.48;0.66;17.4;Амкар;Урал
1;2016;Амкар;Оренбург;94;3-5-2 (100.0%);0;0;2;0;325;266;9;1;46.02;0.01;7.15;Ничья;Ничья
1;2016;Амкар;Анжи;95;5-3-2 (100.0%);2;0;14;9;357;282;19;6;43.83;2.42;12.04;Амкар;Анжи
1;2016;Амкар;Рубин;95;4-4-2 (70.23%);0;0;8;3;362;302;24;10;51.53;0.42;6.09;Ничья;Ничья
2;2016;Амкар;Краснодар;94;4-4-1-1 (73.97%);0;1;7;2;282;215;18;5;40.9;0.28;12.4;Краснодар;Амкар
2;2016;Амкар;Уфа;94;4-2-3-1 (100.0%);1;0;10;3;424;343;15;7;61.55;0.52;4.27;Амкар;Уфа
2;2016;Амкар;Ахмат;94;4-4-2 (67.49%);0;2;7;3;329;252;9;1;39;0.33;7.21;Ахмат;Амкар
2;2016;Амкар;Ахмат;94;4-4-2 (98.98%);1;1;12;6;433;374;21;13;54.62;0.83;6.97;Ничья;Ничья
2;2016;Амкар;Динамо;94;4-4-2 (73.88%);0;0;9;2;405;325;15;2;49.33;0.66;7.63;Ничья;Ничья
2;2016;Амкар;Локомотив;95;4-1-4-1 (61.68%);0;1;11;5;373;288;23;6;56.38;0.64;7.63;Локомотив;Амкар
2;2016;Амкар;Мордовия;95;4-2-3-1 (100.0%);1;1;10;3;306;240;13;5;48.74;0.79;7.88;Ничья;Ничья
2;2016;Амкар;Зенит;97;4-2-3-1 (71.97%);0;2;13;5;292;215;20;9;46.2;1.18;6.16;Зенит;Амкар
2;2016;Амкар;Кубань;93;4-2-3-1 (70.64%);1;1;10;6;307;228;19;8;42.12;2.33;4.48;Ничья;Ничья
2;2016;Амкар;Ростов;93;4-2-3-1 (93.29%);0;0;8;1;411;309;16;3;55.58;0.19;7;Ничья;Ничья
2;2016;Амкар;Спартак;94;4-2-3-1 (100.0%);1;2;10;4;210;126;13;4;31.72;0.57;8.36;Спартак;Амкар
2;2016;Амкар;Анжи;94;4-2-3-1 (18.34%);1;0;5;3;287;210;15;4;38.36;0.7;11.61;Амкар;Анжи
1;2015;Амкар;ЦСКА;94;4-2-3-1 (78.43%);2;0;10;4;294;226;9;5;31.52;1.38;10.79;Амкар;ЦСКА
1;2015;Амкар;КС;92;4-2-3-1 (65.13%);0;0;12;2;334;227;22;5;45.2;0.7;5.61;Ничья;Ничья
1;2015;Амкар;Рубин;94;4-2-3-1 (100.0%);1;2;19;5;457;368;20;7;58.46;1.5;4.35;Рубин;Амкар
1;2015;Амкар;Уфа;94;4-2-3-1 (56.14%);1;2;11;4;307;223;16;3;47.64;0.76;7.42;Уфа;Амкар
1;2015;Амкар;Ахмат;94;4-1-4-1 (88.79%);1;0;7;1;288;194;12;4;33.92;1.28;10.63;Амкар;Ахмат
1;2015;Амкар;Урал;95;4-2-3-1 (100.0%);1;3;9;4;367;268;11;4;41.33;1.28;6.68;Урал;Амкар
1;2015;Амкар;Локомотив;94;4-1-4-1 (50.22%);0;3;11;2;374;315;3;2;49.71;0.53;8.64;Локомотив;Амкар
1;2015;Амкар;Мордовия;93;4-4-2 (53.95%);2;1;12;4;466;392;22;7;59.46;1.19;7;Амкар;Мордовия
1;2015;Амкар;Зенит;95;4-2-3-1 (73.8%);1;1;6;3;344;261;10;4;40.38;1.38;9.22;Ничья;Ничья
1;2015;Амкар;Кубань;95;4-2-3-1 (79.17%);1;1;20;4;394;292;29;10;58.19;1.2;5.13;Ничья;Ничья
1;2015;Амкар;Ростов;127;4-2-3-1 (50.53%);0;1;2;0;213;159;7;3;37.88;0.17;6.64;Ростов;Амкар
1;2015;Амкар;Спартак;93;5-4-1 (68.63%);1;3;10;4;314;233;17;5;47.07;0.71;12.36;Спартак;Амкар
1;2015;Амкар;Анжи;94;4-2-3-1 (100.0%);1;1;8;5;435;342;22;2;52.09;0.4;6.7;Ничья;Ничья
1;2015;Амкар;ЦСКА;95;4-4-2 (100.0%);0;2;10;3;370;292;18;6;41.76;0.46;19.57;ЦСКА;Амкар
1;2015;Амкар;Рубин;96;4-2-3-1 (64.31%);2;0;9;3;236;168;17;5;36.57;1.41;7.06;Амкар;Рубин
1;2015;Амкар;Краснодар;94;4-2-3-1 (14.7%);0;1;6;1;261;199;15;5;31.43;0.24;12.27;Краснодар;Амкар
1;2018;Урал;Динамо;93;4-4-2 (100.0%);0;4;6;1;519;428;18;2;55.77;0.67;9.32;Динамо;Урал
1;2018;Урал;Краснодар;94;4-2-3-1 (100.0%);0;2;7;3;339;253;7;2;38.04;0.58;13.04;Краснодар;Урал
1;2018;Урал;Локомотив;92;4-4-1-1 (100.0%);2;1;12;3;331;243;12;3;38.19;1.86;12.48;Урал;Локомотив
1;2018;Урал;Оренбург;93;4-2-3-1 (100.0%);2;1;11;3;486;399;15;3;53.13;1.27;13.74;Урал;Оренбург
1;2018;Урал;Спартак;94;4-4-2 (90.18%);2;1;10;8;366;284;16;4;47.99;1.5;12.68;Урал;Спартак
1;2018;Урал;Уфа;95;4-2-3-1 (92.86%);1;1;11;3;451;377;24;9;61.94;0.53;6.11;Ничья;Ничья
1;2018;Урал;КС;94;4-3-3 (48.08%);1;1;17;7;414;342;19;5;53.89;1.11;9.83;Ничья;Ничья
1;2018;Урал;Рубин;96;4-4-2 (48.03%);0;1;13;4;503;416;27;10;55.77;1;8.33;Рубин;Урал
1;2018;Урал;Арсенал;95;4-2-3-1 (69.29%);2;1;11;6;361;288;11;4;43.73;1.92;6.08;Урал;Арсенал
1;2018;Урал;Енисей;94;4-2-3-1 (48.64%);2;1;5;1;255;171;11;2;42.44;0.23;8.33;Урал;Енисей
1;2018;Урал;Ростов;95;4-2-3-1 (100.0%);1;1;9;3;466;394;18;9;60.19;0.49;5.94;Ничья;Ничья
1;2018;Урал;ЦСКА;94;4-4-1-1 (100.0%);0;4;14;4;424;356;12;3;49.04;1.82;13.74;ЦСКА;Урал
1;2018;Урал;Ахмат;95;4-2-3-1 (100.0%);2;1;7;4;549;466;10;5;55.87;0.73;6.78;Урал;Ахмат
1;2018;Урал;Зенит;94;4-4-1-1 (100.0%);1;4;12;2;356;282;16;10;53.63;0.89;5.71;Зенит;Урал
1;2018;Урал;Динамо;95;4-4-2 (80.41%);1;1;11;3;438;350;11;2;53.58;0.93;7.43;Ничья;Ничья
1;2018;Урал;Краснодар;95;4-4-1-1 (100.0%);1;2;13;7;289;217;12;7;35.34;1.29;7.6;Краснодар;Урал
